session_key,driver_number,position
9606,43,11
9606,22,12
9606,31,13
9606,18,14
9606,24,15
9606,77,16
9606,10,17
9606,3,18
9606,20,19
9617,16,1
9617,55,2
9617,1,3
9617,4,4
9617,81,5
9617,63,6
9617,11,7
9617,27,8
9617,30,9
9617,43,10
9617,20,11
9617,10,12
9617,14,13
9617,22,14
9617,18,15
9617,23,16
9617,77,17
9617,31,18
9617,24,19
9625,55,1
9625,4,2
9625,16,3
9625,44,4
9625,63,5
9625,1,6
9625,20,7
9625,81,8
9625,27,9
9625,10,10
9625,18,11
9625,43,12
9625,31,13
9625,77,14
9625,24,15
9625,30,16
9625,11,17
9636,1,1
9636,31,2
9636,10,3
9636,63,4
9636,16,5
9636,4,6
9636,22,7
9636,81,8
9636,30,9
9636,44,10
9636,11,11
9636,50,12
9636,77,13
9636,14,14
9636,24,15
9644,63,1
9644,44,2
9644,55,3
9644,16,4
9644,1,5
9644,4,6
9644,81,7
9644,27,8
9644,22,9
9644,11,10
9644,14,11
9644,20,12
9644,24,13
9644,43,14
9644,18,15
9644,30,16
9644,31,17
9644,77,18
9655,1,1
9655,16,2
9655,81,3
9655,63,4
9655,10,5
9655,55,6
9655,14,7
9655,24,8
9655,20,9
9655,4,10
9655,77,11
9655,44,12
9655,22,13
9655,30,14
9655,23,15
9662,4,1
9662,55,2
9662,16,3
9662,44,4
9662,63,5
9662,1,6
9662,10,7
9662,27,8
9662,14,9
9662,81,10
9662,23,11
9662,22,12
9662,24,13
9662,18,14
9662,61,15
9662,20,16
9662,30,17
