session_key,driver_number,lap_number,infraction
9480,,15,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 11 (PER) - UNSAFE RELEASE
9480,,16,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 20 (MAG) - CAUSING A COLLISION
9480,,22,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 20 (MAG) - LEAVING THE TRACK AND GAINING AN ADVANTAGE
9488,,48,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 10 (GAS) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT EXIT
9673,,33,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 2 (SAR) - SAFETY CAR INFRINGEMENT
9673,,34,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 18 (STR) - CAUSING A COLLISION
9673,,34,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 20 (MAG) - CAUSING A COLLISION
9507,,31,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 20 (MAG) - CAUSING A COLLISION
9507,,40,INCIDENT INVOLVING CAR 20 (MAG) NOTED - FAILING TO SERVE TIME PENALTY CORRECTLY
9507,,42,FIA STEWARDS: INCIDENT INVOLVING CAR 20 (MAG) UNDER INVESTIGATION - FAILING TO SERVE TIME PENALTY CORRECTLY
9507,,57,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 18 (STR) - LEAVING THE TRACK AND GAINING AN ADVANTAGE
9515,,22,FIA STEWARDS: 10 SECOND STOP/GO PENALTY FOR CAR 23 (ALB) - UNSAFE CONDITION
9523,,8,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 31 (OCO) - CAUSING A COLLISION
9531,,12,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 3 (RIC) - FALSE START
9539,,15,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 20 (MAG) - FALSE START
9539,,47,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 27 (HUL) - SPEEDING IN THE PIT LANE
9539,,50,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 22 (TSU) - SPEEDING IN THE PIT LANE
9550,,23,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 14 (ALO) - CAUSING A COLLISION
9550,,24,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 44 (HAM) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY
9550,,32,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 11 (PER) - SPEEDING IN THE PIT LANE
9550,,46,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 23 (ALB) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY
9550,,64,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 4 (NOR) - TRACK LIMITS
9550,,68,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 1 (VER) - CAUSING A COLLISION
9582,,38,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 18 (STR) - SPEEDING IN THE PIT LANE
9590,,9,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 3 (RIC) - FORCING ANOTHER CAR OFF THE TRACK
9590,,9,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 27 (HUL) - CAUSING A COLLISION
9590,,17,PIT LANE INCIDENT INVOLVING CAR 3 (RIC) NOTED - FAILING TO SERVE TIME PENALTY CORRECTLY
9590,,17,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CAR 3 (RIC) UNDER INVESTIGATION - FAILING TO SERVE TIME PENALTY CORRECTLY
9590,,18,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 3 (RIC) - FAILING TO SERVE TIME PENALTY CORRECTLY
9590,,25,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 20 (MAG) - CAUSING A COLLISION
9617,,15,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 63 (RUS) - FORCING ANOTHER DRIVER OFF THE TRACK
9617,,33,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 10 (GAS) - LEAVING THE TRACK AND GAINING AN ADVANTAGE
